index,image_path,location,location_normalized,year,taluk_norm,locality_norm
141,F:\images\2025\Guindy_Adyar_(Part_II).png,Guindy_Adyar_(Part_II),guindy adyar part ii,2025,guindy,adyar
142,F:\images\2014\Guindy_Alandur.png,Guindy_Alandur,guindy alandur,2014,guindy,alandur
143,F:\images\2020\Guindy_Alandur.png,Guindy_Alandur,guindy alandur,2020,guindy,alandur
144,F:\images\2021\Guindy_Alandur.png,Guindy_Alandur,guindy alandur,2021,guindy,alandur
145,F:\images\2022\Guindy_Alandur.png,Guindy_Alandur,guindy alandur,2022,guindy,alandur
146,F:\images\2024\Guindy_Alandur.png,Guindy_Alandur,guindy alandur,2024,guindy,alandur
147,F:\images\2025\Guindy_Alandur.png,Guindy_Alandur,guindy alandur,2025,guindy,alandur
148,F:\images\2014\Guindy_Ekkatuthangal.png,Guindy_Ekkatuthangal,guindy ekkatuthangal,2014,guindy,ekkatuthangal
149,F:\images\2020\Guindy_Ekkatuthangal.png,Guindy_Ekkatuthangal,guindy ekkatuthangal,2020,guindy,ekkatuthangal
150,F:\images\2021\Guindy_Ekkatuthangal.png,Guindy_Ekkatuthangal,guindy ekkatuthangal,2021,guindy,ekkatuthangal
151,F:\images\2022\Guindy_Ekkatuthangal.png,Guindy_Ekkatuthangal,guindy ekkatuthangal,2022,guindy,ekkatuthangal
152,F:\images\2024\Guindy_Ekkatuthangal.png,Guindy_Ekkatuthangal,guindy ekkatuthangal,2024,guindy,ekkatuthangal
153,F:\images\2025\Guindy_Ekkatuthangal.png,Guindy_Ekkatuthangal,guindy ekkatuthangal,2025,guindy,ekkatuthangal
154,F:\images\2014\Guindy_Govt._Farm.png,Guindy_Govt._Farm,guindy govt farm,2014,guindy,govt
155,F:\images\2020\Guindy_Govt._Farm.png,Guindy_Govt._Farm,guindy govt farm,2020,guindy,govt
156,F:\images\2021\Guindy_Govt._Farm.png,Guindy_Govt._Farm,guindy govt farm,2021,guindy,govt
157,F:\images\2022\Guindy_Govt._Farm.png,Guindy_Govt._Farm,guindy govt farm,2022,guindy,govt
158,F:\images\2024\Guindy_Govt._Farm.png,Guindy_Govt._Farm,guindy govt farm,2024,guindy,govt
159,F:\images\2025\Guindy_Govt._Farm.png,Guindy_Govt._Farm,guindy govt farm,2025,guindy,govt
160,F:\images\2014\Guindy_Guindy_Park.png,Guindy_Guindy_Park,guindy guindy park,2014,guindy,guindy
161,F:\images\2020\Guindy_Guindy_Park.png,Guindy_Guindy_Park,guindy guindy park,2020,guindy,guindy
162,F:\images\2021\Guindy_Guindy_Park.png,Guindy_Guindy_Park,guindy guindy park,2021,guindy,guindy
163,F:\images\2022\Guindy_Guindy_Park.png,Guindy_Guindy_Park,guindy guindy park,2022,guindy,guindy
164,F:\images\2024\Guindy_Guindy_Park.png,Guindy_Guindy_Park,guindy guindy park,2024,guindy,guindy
165,F:\images\2025\Guindy_Guindy_Park.png,Guindy_Guindy_Park,guindy guindy park,2025,guindy,guindy
166,F:\images\2014\Guindy_Kottur.png,Guindy_Kottur,guindy kottur,2014,guindy,kottur
167,F:\images\2020\Guindy_Kottur.png,Guindy_Kottur,guindy kottur,2020,guindy,kottur
168,F:\images\2021\Guindy_Kottur.png,Guindy_Kottur,guindy kottur,2021,guindy,kottur
169,F:\images\2022\Guindy_Kottur.png,Guindy_Kottur,guindy kottur,2022,guindy,kottur
170,F:\images\2024\Guindy_Kottur.png,Guindy_Kottur,guindy kottur,2024,guindy,kottur
171,F:\images\2025\Guindy_Kottur.png,Guindy_Kottur,guindy kottur,2025,guindy,kottur
172,F:\images\2014\Guindy_T._Nagar.png,Guindy_T._Nagar,guindy t nagar,2014,guindy,t
