location,location_normalized,year,image_path
Madhavaram_Puzhal,madhavaram puzhal,2025,F:\images\2025\Madhavaram_Puzhal.png
Madhavaram_Surapet,madhavaram surapet,2014,F:\images\2014\Madhavaram_Surapet.png
Madhavaram_Surapet,madhavaram surapet,2020,F:\images\2020\Madhavaram_Surapet.png
Madhavaram_Surapet,madhavaram surapet,2021,F:\images\2021\Madhavaram_Surapet.png
Madhavaram_Surapet,madhavaram surapet,2022,F:\images\2022\Madhavaram_Surapet.png
Madhavaram_Surapet,madhavaram surapet,2024,F:\images\2024\Madhavaram_Surapet.png
Madhavaram_Surapet,madhavaram surapet,2025,F:\images\2025\Madhavaram_Surapet.png
Madhavaram_Vadaperumbakkam,madhavaram vadaperumbakkam,2014,F:\images\2014\Madhavaram_Vadaperumbakkam.png
Madhavaram_Vadaperumbakkam,madhavaram vadaperumbakkam,2020,F:\images\2020\Madhavaram_Vadaperumbakkam.png
Madhavaram_Vadaperumbakkam,madhavaram vadaperumbakkam,2021,F:\images\2021\Madhavaram_Vadaperumbakkam.png
Madhavaram_Vadaperumbakkam,madhavaram vadaperumbakkam,2022,F:\images\2022\Madhavaram_Vadaperumbakkam.png
Madhavaram_Vadaperumbakkam,madhavaram vadaperumbakkam,2024,F:\images\2024\Madhavaram_Vadaperumbakkam.png
Madhavaram_Vadaperumbakkam,madhavaram vadaperumbakkam,2025,F:\images\2025\Madhavaram_Vadaperumbakkam.png
Madhavaram_Villakupattu,madhavaram villakupattu,2014,F:\images\2014\Madhavaram_Villakupattu.png
Madhavaram_Villakupattu,madhavaram villakupattu,2020,F:\images\2020\Madhavaram_Villakupattu.png
Madhavaram_Villakupattu,madhavaram villakupattu,2021,F:\images\2021\Madhavaram_Villakupattu.png
Madhavaram_Villakupattu,madhavaram villakupattu,2022,F:\images\2022\Madhavaram_Villakupattu.png
Madhavaram_Villakupattu,madhavaram villakupattu,2024,F:\images\2024\Madhavaram_Villakupattu.png
